geoid10,name10,year,hsi_score,hei_score,hvi_score,n_veryhigh
42101005400,54,2023,1.15288381,-0.13807682,-0.13232393,0
42101017000,170,2023,-0.19281842,-0.75953773,-0.17989224,0
42101035701,357.01,2023,0.12311925,2.35217583,-0.19079626,0
42101014700,147,2023,-0.44418246,-1.77863245,-0.21318241,0
42101037700,377,2023,-0.50116536,-1.20614789,-0.267411,0
42101031502,315.02,2023,-0.73691768,1.03740422,-0.34715561,0
42101032100,321,2023,-0.44003523,-0.86113291,-0.41584522,0
42101033701,337.01,2023,-0.67434969,3.0264368,-0.52735066,0
42101003001,30.01,2023,-1.57387933,0.2028533,-0.5564442,0
42101027902,279.02,2023,-0.52604206,-1.36006786,-0.56705797,0
42101036000,360,2023,-1.14982958,2.18912676,-0.56952061,0
42101980200,9802,2023,0.62967548,5.16205097,-0.59510669,0
42101037600,376,2023,-1.70753582,-2.09725277,-0.80294335,0
42101012203,122.03,2023,-1.38069512,-1.01286939,-0.93795401,0
42101000500,5,2023,-2.02628325,-2.14378573,-0.96403119,0
42101023800,238,2023,-0.8443749,-1.2336789,-1.02045609,0
42101038000,380,2023,-2.16011838,0.87471064,-1.16524097,0
42101030700,307,2023,-1.63281873,0.03490741,-1.2010623,0
42101031700,317,2023,-1.89858497,-0.32706743,-1.20120269,0
42101030600,306,2023,-1.81426704,0.54919599,-1.26995808,0
42101032500,325,2023,-1.63124814,0.31226459,-1.30020922,0
42101024000,240,2023,-1.57671169,-1.44795695,-1.31303122,0
42101002801,28.01,2023,-2.61251474,0.24916975,-1.38189265,0
42101033300,333,2023,-2.0237078,2.14880384,-1.38623476,0
42101002701,27.01,2023,-2.43797057,0.13199816,-1.43445842,0
42101007700,77,2023,-2.03748896,-2.59046509,-1.43586507,0
42101031900,319,2023,-1.82506504,-0.09295981,-1.45546143,0
42101016100,161,2023,-2.54120969,-0.59210764,-1.51715542,0
42101035500,355,2023,-1.94240794,1.5941654,-1.54368735,0
42101013300,133,2023,-2.79783709,-3.07432538,-1.57147599,0
42101004202,42.02,2023,-2.87621651,1.19532431,-1.5976083,0
42101025500,255,2023,-1.61465579,-1.40841981,-1.6571005,0
42101015700,157,2023,-2.88190386,-0.28890054,-1.65742845,0
42101034600,346,2023,-2.49669667,-0.05127715,-1.70593847,0
42101002200,22,2023,-3.18329765,-1.65846891,-1.76931792,0
42101037200,372,2023,-2.81900072,1.41645485,-1.77485997,0
42101003901,39.01,2023,-3.66602202,0.09885446,-1.78685826,0
42101031600,316,2023,-3.02503984,0.49379454,-1.80532824,0
42101034900,349,2023,-2.15961143,-0.18587325,-1.82950313,0
