geoid10,name10,district_name,hvi_score,hsi_score,hei_score
42101007102,71.02,University Southwest,4.77106429,6.89504031,0.83789355
42101008601,86.01,University Southwest,-2.70721027,-4.23053296,-2.76764591
42101008802,88.02,University Southwest,0.40552242,0.34476199,-4.779247
42101008702,87.02,University Southwest,-4.15147855,-6.45865976,-3.70110298
42101008701,87.01,University Southwest,-4.63154884,-7.10214075,-2.60068223
42101008102,81.02,West,5.67833423,7.66404911,0.89388396
42101008602,86.02,University Southwest,2.40395342,3.05050045,-0.81322428
42101037500,375,West Park,-2.74632908,-3.36676338,-1.69480065
42101000801,8.01,Central,-6.49776845,-9.82990268,-4.21202411
42101001101,11.01,Central,-4.92075212,-7.36243613,-3.01530117
42101027402,274.02,Upper North,2.37208838,2.88940039,0.42581362
42101036502,365.02,Upper Far Northeast,-6.4652541,-8.86551348,-0.53329857
42101036700,367,Central,-5.60115907,-8.85752264,-4.17754242
42101037600,376,Central,-0.80294335,-1.70753582,-2.09725277
42101038700,387,Upper Northwest,-5.65236441,-7.04220032,-0.80341072
